Product_Code,ProductName,Description,New Item Description
FS200604K,MASTER CHEF CHICKEN CHETTINAD 20G_FS200604K,MASTER CHEF CHICKEN CHETTINAD 20G_FS200604K,
FS200610,MASTER CHEF CHICKEN CHETTINAD 50G_FS200610,MASTER CHEF CHICKEN CHETTINAD 50G_FS200610,
FS200704K,MASTERCHEF MADRAS MILAGU RASAM 20G_FS200704K,MASTERCHEF MADRAS MILAGU RASAM 20G_FS200704K,
FS200710,MASTERCHEF MADRAS MILAGU RASAM 50G_FS200710,MASTERCHEF MADRAS MILAGU RASAM 50G_FS200710,
FS200810,M CHEF MADURAI KULAMBU MILAKAI 50G_FS200810,M CHEF MADURAI KULAMBU MILAKAI 50G_FS200810,
FS200814,M CHEF MADURAI KULAMBU MILAKAI 12G_FS200814,M CHEF MADURAI KULAMBU MILAKAI 12G_FS200814,
FS200904K,MASTER CHEF THANJAVUR SAMBAR 20G_FS200904K,MASTER CHEF THANJAVUR SAMBAR 20G_FS200904K,
FS200910,MASTER CHEF THANJAVUR SAMBAR 50G_FS200910,MASTER CHEF THANJAVUR SAMBAR 50G_FS200910,
FS201220,MASTER CHEF CHICKEN 65 MASALA RS10_FS201220,MASTER CHEF CHICKEN 65 MASALA RS10_FS201220,
FS201250,MASTER CHEF CHICKEN 65 MASALA 50G_FS201250,MASTER CHEF CHICKEN 65 MASALA 50G_FS201250,
FS201320,MASTER CHEF MUTTON CHUKKA MSLARS10_FS201320,MASTER CHEF MUTTON CHUKKA MSLARS10_FS201320,
FS201350,MASTER CHEF MUTTON CHUKKA MSLA 50G_FS201350,MASTER CHEF MUTTON CHUKKA MSLA 50G_FS201350,
FS201420,MASTER CHEF FISH FRY MASALA RS10_FS201420,MASTER CHEF FISH FRY MASALA RS10_FS201420,
FS201450,MASTER CHEF FISH FRY MASALA 50G_FS201450,MASTER CHEF FISH FRY MASALA 50G_FS201450,
FS300050,MASTER CHEF CHILLI POWDER 50G TN_FS300050,MASTER CHEF CHILLI POWDER 50G TN_FS300050,
FS300100,MASTER CHEF CHILLI POWDER 100G TN_FS300100,MASTER CHEF CHILLI POWDER 100G TN_FS300100,
FS400050,MASTER CHEF CORIANDER PWR 50G TN_FS400050,MASTER CHEF CORIANDER PWR 50G TN_FS400050,
FS400100,MASTER CHEF CORIANDER PWR 100G TN_FS400100,MASTER CHEF CORIANDER PWR 100G TN_FS400100,
FS600050,MASTER CHEF TURMERIC POWDER 50G TN_FS600050,MASTER CHEF TURMERIC POWDER 50G TN_FS600050,
FS600100,MASTER CHEF TURMERIC PWR 100G TN_FS600100,MASTER CHEF TURMERIC PWR 100G TN_FS600100,
FXC100010,BINGO STARTERS RS10 MINTY CHIPS_FXC100010,BINGO STARTERS RS10 MINTY CHIPS_FXC100010,
FXC100020,BINGO STARTERS RS20 MINTY CHIPS_FXC100020,BINGO STARTERS RS20 MINTY CHIPS_FXC100020,
FXC10005B,BINGO! CHIPS RS.5 SALTED_FXC10005B,BINGO! CHIPS RS.5 SALTED_FXC10005B,
FXC10011,BINGO! CHIPS RS.10 SALTED_FXC10011,BINGO! CHIPS RS.10 SALTED_FXC10011,
FXC10020,BINGO! CHIPS RS.20 SALTED_FXC10020,BINGO! CHIPS RS.20 SALTED_FXC10020,
FXC110010,BINGO STARTERS RS10 CHATPATA CHIPS_FXC110010,BINGO STARTERS RS10 CHATPATA CHIPS_FXC110010,
FXC110020,BINGO STARTERS RS20 CHATPATA CHIPS_FXC110020,BINGO STARTERS RS20 CHATPATA CHIPS_FXC110020,
FXC20005B,BINGO! CHIPS RS.5 CRM&ON_FXC20005B,BINGO! CHIPS RS.5 CRM&ON_FXC20005B,
FXC20011,BINGO! CHIPS RS.10 CRM&ON_FXC20011,BINGO! CHIPS RS.10 CRM&ON_FXC20011,
FXC20020,BINGO! CHIPS RS.20 CRM&ON_FXC20020,BINGO! CHIPS RS.20 CRM&ON_FXC20020,
FXC30005B,BINGO! CHIPS RS.5 TOMATO_FXC30005B,BINGO! CHIPS RS.5 TOMATO_FXC30005B,
FXC30011,BINGO! CHIPS RS.10 TOMATO_FXC30011,BINGO! CHIPS RS.10 TOMATO_FXC30011,
FXC30020,BINGO! CHIPS RS.20 TOMATO_FXC30020,BINGO! CHIPS RS.20 TOMATO_FXC30020,
FXC40005B,BINGO! CHIPS RS.5 MASALA_FXC40005B,BINGO! CHIPS RS.5 MASALA_FXC40005B,
FXC40011,BINGO! CHIPS RS.10 MASALA_FXC40011,BINGO! CHIPS RS.10 MASALA_FXC40011,
FXC40020,BINGO! CHIPS RS.20 MASALA_FXC40020,BINGO! CHIPS RS.20 MASALA_FXC40020,
FXC50005B,BINGO! CHIPS RS.5 TOMATO & CHILLI_FXC50005B,BINGO! CHIPS RS.5 TOMATO & CHILLI_FXC50005B,
FXC60005B,BINGO! CHIPS RS.5 CHILLI_FXC60005B,BINGO! CHIPS RS.5 CHILLI_FXC60005B,
FXC80010,BINGO STARTERS RS10 MASALA CHIPS_FXC80010,BINGO STARTERS RS10 MASALA CHIPS_FXC80010,
FXC80020,BINGO STARTERS RS20 MASALA CHIPS_FXC80020,BINGO STARTERS RS20 MASALA CHIPS_FXC80020,
FXC90020,BINGO STARTERS RS20 PEPPERY CHIPS_FXC90020,BINGO STARTERS RS20 PEPPERY CHIPS_FXC90020,
FXN100013,NO RULZ RS.5 CHEESE FREE TOY_FXN100013,NO RULZ RS.5 CHEESE FREE TOY_FXN100013,
FXN200009,NO RULZ RS.5 TOMATO FREE TOY_FXN200009,NO RULZ RS.5 TOMATO FREE TOY_FXN200009,
FXN200013,NO RULZ RS.5 TOMATO FREE TOY_FXN200013,NO RULZ RS.5 TOMATO FREE TOY_FXN200013,
FXN300013,NO RULZ RS.5 MASALA FREE TOY_FXN300013,NO RULZ RS.5 MASALA FREE TOY_FXN300013,
FXN400006,BINGO NO RULZ RS.5 MSLA CURLZ 20%E_FXN400006,BINGO NO RULZ RS.5 MSLA CURLZ 20%E_FXN400006,
FXN500006,BINGO NO RULZ RS.5 CHESECURLZ20%E_FXN500006,BINGO NO RULZ RS.5 CHESECURLZ20%E_FXN500006,
NFR808S,EngageEDT LamanteForHim75ml NFR_NFR808S,EngageEDT LamanteForHim75ml NFR_NFR808S,
NFR809S,EngageEDT LamanteForHer75ml NFR_NFR809S,EngageEDT LamanteForHer75ml NFR_NFR809S,
PENDO0177,Engage Blush Deo 150ml-NC_PENDO0177,Engage Blush Deo 150ml-NC_PENDO0177,
PENDO0178,Engage Spell Deo 150ml-NC_PENDO0178,Engage Spell Deo 150ml-NC_PENDO0178,
PENDO0179,Engage Tease Deo 150ml-NC_PENDO0179,Engage Tease Deo 150ml-NC_PENDO0179,
PENDO0180,Engage Rush Deo 150ml-NC_PENDO0180,Engage Rush Deo 150ml-NC_PENDO0180,
PENDO0182,Engage Urge Deo 150ml-NC_PENDO0182,Engage Urge Deo 150ml-NC_PENDO0182,
PENDO0183,Engage Frost Deo 150ml-NC_PENDO0183,Engage Frost Deo 150ml-NC_PENDO0183,
PENDO0184,Engage Drizzle Deo 150ml-NC_PENDO0184,Engage Drizzle Deo 150ml-NC_PENDO0184,
PENDO0255,Engage Blush Deo 165ml-NC_PENDO0255,Engage Blush Deo 165ml-NC_PENDO0255,
PENDO0256,Engage Spell Deo 165ml-NC_PENDO0256,Engage Spell Deo 165ml-NC_PENDO0256,
PENDO0257,Engage Tease Deo 165ml-NC_PENDO0257,Engage Tease Deo 165ml-NC_PENDO0257,
PENDO0258,Engage Drizzle Deo 165ml-NC_PENDO0258,Engage Drizzle Deo 165ml-NC_PENDO0258,
PENDO0259,Engage Rush Deo 165ml-NC_PENDO0259,Engage Rush Deo 165ml-NC_PENDO0259,
PENDO0260,Engage Mate Deo 165ml-NC_PENDO0260,Engage Mate Deo 165ml-NC_PENDO0260,
PENDO0261,Engage Urge Deo 165ml-NC_PENDO0261,Engage Urge Deo 165ml-NC_PENDO0261,
PENDO0262,Engage Frost Deo 165ml-NC_PENDO0262,Engage Frost Deo 165ml-NC_PENDO0262,
PENDO0263,Engage Sport Cool Him Deo 165ml_PENDO0263,Engage Sport Cool Him Deo 165ml_PENDO0263,
PENDO0264,Engage Sport Cool Her Deo 165ml_PENDO0264,Engage Sport Cool Her Deo 165ml_PENDO0264,
PENDO0265,Engage Sport Fresh Him Deo 165ml_PENDO0265,Engage Sport Fresh Him Deo 165ml_PENDO0265,
PENDO0266,Engage Sport Fresh Her Deo 165ml_PENDO0266,Engage Sport Fresh Her Deo 165ml_PENDO0266,
PENDO0287,Engage Intrigue For Him Deo 150ml_PENDO0287,Engage Intrigue For Him Deo 150ml_PENDO0287,
