RowID,TransactionName,IniName,PrintMode,Active,CreationDate,ModifiedDate,GSTFlag,
189,DandDInvoice,DandDInvoice_CG_Intra.ini,1,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,,
190,DandDInvoice,DandDInvoice_CG_Win_Intra.ini,2,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,,
191,DandDInvoice,DandDInvoice_CG_Inter.ini,1,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,,
192,DandDInvoice,DandDInvoice_CG_Win_Inter.ini,2,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,,
193,DandDInvoice,DandDInvoice_Exempt.ini,1,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,,
194,DandDInvoice,DandDInvoice_Exempt_Win.ini,2,1,27/03/2018 8:30:23 AM,27/03/2018 8:30:23 AM,,
1,Invoice,FullPagePrint_WB.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
2,Invoice,HalfPagePrint_WB.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
3,Invoice,Invoice Print_WIN_WB.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
4,Invoice,FullPagePrint_UP_Cash_Memo_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
5,Invoice,FullPagePrint_UP_Non_VAT_Goods_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
6,Invoice,FullPagePrint_UP_Tax_Invoice_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
7,Invoice,FullPagePrint_UP_VAT_Goods_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
8,Invoice,HalfPagePrint_UP_Cash_Memo_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
9,Invoice,HalfPagePrint_UP_Non_VAT_Goods_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
10,Invoice,HalfPagePrint_UP_Tax_Invoice_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
11,Invoice,HalfPagePrint_UP_VAT_Goods_UP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
12,Invoice,Invoice Print_WIN_UP_Cash_Memo_UP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
13,Invoice,Invoice Print_WIN_UP_Non_Vat_Goods_UP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
14,Invoice,Invoice Print_WIN_UP_Tax_Invoice_UP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
15,Invoice,Invoice Print_WIN_UP_Vat_Goods_UP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
16,Invoice,HalfPagePrint_TN.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
17,Invoice,Invoice Print_WIN_TN.ini,2,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
18,Invoice,FullPagePrint_TN.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
19,Invoice,HalfPagePrint_CG_TN.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
20,Invoice,Invoice Print_WIN_CG_TN.ini,2,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
21,Invoice,FullPagePrint_CG_TN.ini,1,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
22,Invoice,FullPagePrint_GA.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
23,Invoice,HalfPagePrint_GA.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
24,Invoice,Invoice Print_WIN_GA.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
25,Invoice,FullPagePrint_CT.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
26,Invoice,HalfPagePrint_CT.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
27,Invoice,Invoice Print_WIN_CT.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
28,Invoice,FullPagePrint_BR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
29,Invoice,HalfPagePrint_BR.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
30,Invoice,Invoice Print_WIN_BR.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
31,Invoice,FullPagePrint_AP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
32,Invoice,HalfPagePrint_AP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
33,Invoice,Invoice Print_WIN_AP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
34,Invoice,HalfPagePrint_CG_AP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
35,Invoice,Invoice Print_WIN_CG_AP.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
36,Invoice,FullPagePrint_CG_AP.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
37,Invoice,FullPagePrint_ASM.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
38,Invoice,HalfPagePrint_ASM.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
39,Invoice,Invoice Print_WIN_ASM.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
40,Invoice,HalfPagePrint_CG_ASM.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
41,Invoice,Invoice Print_WIN_CG_ASM.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
42,Invoice,FullPagePrint_CG_ASM.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
43,Invoice,FullPagePrint_Daman.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
44,Invoice,HalfPagePrint_Daman.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
45,Invoice,Invoice Print_WIN_Daman.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
