RowID,IniFileName,PrintMode,CreationDate,ModifiedDate,Active,
48,Invoice Print_WIN_DELHI.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
49,FullPagePrint_GUJARAT.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
50,HalfPagePrint_GUJARAT.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
51,Invoice Print_WIN_GUJARAT.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
52,FullPagePrint_TR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
53,HalfPagePrint_TR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
54,Invoice Print_WIN_TR.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
55,FullPagePrint_JH.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
56,HalfPagePrint_JH.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
57,Invoice Print_WIN_JH.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
58,FullPagePrint_MP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
59,HalfPagePrint_MP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
60,Invoice Print_WIN_MP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
61,FullPagePrint_OR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
62,HalfPagePrint_OR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
63,Invoice Print_WIN_OR.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
64,FullPagePrint_PB.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
65,HalfPagePrint_PB.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
66,Invoice Print_WIN_PB.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
67,FullPagePrint_KA.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
68,FullPagePrint_KA_CG.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
69,HalfPagePrint_KA.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
70,HalfPagePrint_KA_CG.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
71,IInvoice Print_WIN_KA.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
72,Invoice Print_WIN_KA_CG.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
73,HalfPagePrint_KE_CG_FORM 8.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
74,HalfPagePrint_KE_CG_FORM 8B.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
75,HalfPagePrint_KE_FORM 8.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
76,HalfPagePrint_KE_FORM 8B.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
77,Invoice Print_WIN_KE_CG_FORM 8.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
78,Invoice Print_WIN_KE_CG_FORM 8B.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
79,Invoice Print_WIN_KE_FORM 8.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
80,Invoice Print_WIN_KE_FORM 8B.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
81,FullPagePrint_KE_CG_FORM 8.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
82,FullPagePrint_KE_CG_FORM 8B.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
83,FullPagePrint_KE_FORM 8.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
84,FullPagePrint_KE_FORM 8B.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
85,FullPagePrint_MH_TI.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
86,HalfPagePrint_MH_TI.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
87,FullPagePrint_MH_RI.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
88,HalfPagePrint_MH_RI.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
89,Invoice Print_WIN_MH_RI.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
90,Invoice Print_WIN_MH_TI.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
91,FullPagePrint_HAR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
92,HalfPagePrint_HAR.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
93,Invoice Print_WIN_HAR.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
94,Tax Inv FullPagePrint_HP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
95,Tax Inv HalfPagePrint_HP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
96,Sales Inv FullPagePrint_HP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
97,Sales Inv HalfPagePrint_HP.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
98,Tax Inv Print_WIN_HP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
99,Sales Inv Print_WIN_HP.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
100,Vat Inv FullPagePrint_JK.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
101,Vat Inv HalfPagePrint_JK.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
102,Sales Inv FullPagePrint_JK.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
103,Sales Inv HalfPagePrint_JK.ini,1,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
104,Vat Inv Print_WIN_JK.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
105,Sales Inv Print_WIN_JK.ini,2,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,0,
106,FullPagePrint_RJ.ini,1,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,0,
107,HalfPagePrint_RJ.ini,1,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,0,
108,Invoice_Print_WIN_RJ.ini,2,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,0,
109,CG_FullPagePrint_RJ.ini,1,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,0,
110,CG_HalfPagePrint_RJ.ini,1,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,0,
111,CG Full Page Print_RJ_Windows.ini,2,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,0,
178,DandD_With_Batch.ini,1,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,1,
179,DandD_With_Batch_Win.ini,2,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,1,
180,DandD_Without_Batch.ini,1,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,1,
181,DandD_Without_Batch_Win.ini,2,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,1,
182,DandD_Destroyed.ini,1,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,1,
183,DandD_Destroyed_Win.ini,2,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,1,
118,SalesConfirmation_Imp_Dos.ini,1,03/04/2017 4:58:53 PM,03/04/2017 4:58:53 PM,0,
119,SalesConfirmation_Imp_Win.ini,2,03/04/2017 4:58:53 PM,03/04/2017 4:58:53 PM,0,
120,HalfPagePrint_ASL_TN.ini,1,03/04/2017 5:00:18 PM,03/04/2017 5:00:18 PM,0,
121,HalfPagePrint_NG_TN.ini,1,03/04/2017 5:00:18 PM,03/04/2017 5:00:18 PM,0,
122,Invoice Print_WIN_ASL_TN.ini,2,03/04/2017 5:00:18 PM,03/04/2017 5:00:18 PM,0,
