Values,QueryParamID,
Retailer,10,"Select 'Retailer',10 UNION ALL"
Rural Rural,9,"Select 'Rural Rural',9 UNION ALL"
Rural Urban,9,"Select 'Rural Urban',9 UNION ALL"
All Items,36,"Select 'All Items',36 UNION ALL"
Sales Return,8,"Select 'Sales Return',8 UNION ALL"
Sales UOM,16,"Select 'Sales UOM',16 UNION ALL"
Satellite,9,"Select 'Satellite',9 UNION ALL"
Schemes,13,"Select 'Schemes',13 UNION ALL"
Special Price,15,"Select 'Special Price',15 UNION ALL"
Trade,10,"Select 'Trade',10 UNION ALL"
Trade Invoice,8,"Select 'Trade Invoice',8 UNION ALL"
Unused Cheques,18,"Select 'Unused Cheques',18 UNION ALL"
UOM 1,19,"Select 'UOM 1',19 UNION ALL"
UOM 2,19,"Select 'UOM 2',19 UNION ALL"
UOM1,16,"Select 'UOM1',16 UNION ALL"
UOM2,16,"Select 'UOM2',16 UNION ALL"
Used Cheques,18,"Select 'Used Cheques',18 UNION ALL"
Yearly,7,"Select 'Yearly',7 UNION ALL"
Bank Transfer,11,"Select 'Bank Transfer',11 UNION ALL"
Damages,2,"Select 'Damages',2 UNION ALL"
Saleable,2,"Select 'Saleable',2 UNION ALL"
Credit,26,"Select 'Credit',26 UNION ALL"
CustomerWise,29,"Select 'CustomerWise',29 UNION ALL"
InvoiceWise,29,"Select 'InvoiceWise',29 UNION ALL"
Conversion Factor,31,"Select 'Conversion Factor',31 UNION ALL"
Reporting UOM,31,"Select 'Reporting UOM',31 UNION ALL"
Sales UOM,31,"Select 'Sales UOM',31 UNION ALL"
UOM1,31,"Select 'UOM1',31 UNION ALL"
UOM2,31,"Select 'UOM2',31 UNION ALL"
TIN Customers,23,"Select 'TIN Customers',23 UNION ALL"
Non TIN Customers,23,"Select 'Non TIN Customers',23 UNION ALL"
Saleable,24,"Select 'Saleable',24 UNION ALL"
Damages,24,"Select 'Damages',24 UNION ALL"
UOM,33,"Select 'UOM',33 UNION ALL"
UOM1,33,"Select 'UOM1',33 UNION ALL"
UOM2,33,"Select 'UOM2',33 UNION ALL"
Price to WD,32,"Select 'Price to WD',32 UNION ALL"
Sales Price,32,"Select 'Sales Price',32 UNION ALL"
Items With Stock,36,"Select 'Items With Stock',36 UNION ALL"
All Customer,34,"Select 'All Customer',34 UNION ALL"
Defined Customers,34,"Select 'Defined Customers',34 UNION ALL"
All Customer,35,"Select 'All Customer',35 UNION ALL"
Active Customer,35,"Select 'Active Customer',35 UNION ALL"
Base UOM,37,"Select 'Base UOM',37 UNION ALL"
UOM1 & UOM2,41,"Select 'UOM1 & UOM2',41 UNION ALL"
Sales Invoices,45,"Select 'Sales Invoices',45 UNION ALL"
Sales Return Invoices,45,"Select 'Sales Return Invoices',45 UNION ALL"
Item,42,"Select 'Item',42 UNION ALL"
Category,42,"Select 'Category',42 UNION ALL"
Yes,38,"Select 'Yes',38 UNION ALL"
No,38,"Select 'No',38 UNION ALL"
Summary,39,"Select 'Summary',39 UNION ALL"
Detail,39,"Select 'Detail',39 UNION ALL"
N/A,39,"Select 'N/A',39 UNION ALL"
Sales,40,"Select 'Sales',40 UNION ALL"
Sales Return,40,"Select 'Sales Return',40 UNION ALL"
Net Sales,40,"Select 'Net Sales',40 UNION ALL"
All,40,"Select 'All',40 UNION ALL"
Value,43,"Select 'Value',43 UNION ALL"
Volume,43,"Select 'Volume',43 UNION ALL"
No.of Bills,43,"Select 'No.of Bills',43 UNION ALL"
Cash,46,"Select 'Cash',46 UNION ALL"
Cheque,46,"Select 'Cheque',46 UNION ALL"
Credit,46,"Select 'Credit',46 UNION ALL"
DD,46,"Select 'DD',46 UNION ALL"
Bank Transfer,46,"Select 'Bank Transfer',46 UNION ALL"
Category Wise,47,"Select 'Category Wise',47 UNION ALL"
Channel Wise,47,"Select 'Channel Wise',47 UNION ALL"
DS wise,47,"Select 'DS wise',47 UNION ALL"
Beat wise,47,"Select 'Beat wise',47 UNION ALL"
Customer wise,47,"Select 'Customer wise',47 UNION ALL"
All without Free Item,48,"Select 'All without Free Item',48 UNION ALL"
Scheme,48,"Select 'Scheme',48 UNION ALL"
Product Discount,48,"Select 'Product Discount',48 UNION ALL"
Addl. Discount,48,"Select 'Addl. Discount',48 UNION ALL"
Trade Discount,48,"Select 'Trade Discount',48 UNION ALL"
Only Free Item,48,"Select 'Only Free Item',48 UNION ALL"
Both,49,"Select 'Both',49 UNION ALL"
All,51,"Select 'All',51 UNION ALL"
Register,51,"Select 'Register',51 UNION ALL"
Unregister,51,"Select 'Unregister',51 UNION ALL"
Both,129,"Select 'Both',129 UNION ALL"
PTS with Tax,138,"Select 'PTS with Tax',138 UNION ALL"
With D & D,137,"Select 'With D & D',137 UNION ALL"
Without D & D,137,"Select 'Without D & D',137 UNION ALL"
SKU Wise,131,"Select 'SKU Wise',131 UNION ALL"
HSN Wise,131,"Select 'HSN Wise',131 UNION ALL"
Regular,103,"Select 'Regular',103 UNION ALL"
Operational,103,"Select 'Operational',103 UNION ALL"
Sales with D&D Invoice,132,"Select 'Sales with D&D Invoice',132 UNION ALL"
Sales Return,132,"Select 'Sales Return',132 UNION ALL"
Both Sales & Sales Return,132,"Select 'Both Sales & Sales Return',132 UNION ALL"
D & D Delivery Challan,132,"Select 'D & D Delivery Challan',132 UNION ALL"
